Symbol,ESG,Year
A,15,2023
AAL,29,2023
AAP,12,2023
AAPL,17,2023
ABBV,28,2023
ABC,12,2023
ABT,25,2023
ACGL,21,2023
ACN,10,2023
ADBE,12,2023
ADI,24,2023
ADM,36,2023
ADP,14,2023
ADSK,16,2023
AEE,30,2023
AEP,26,2023
AES,34,2023
AFL,17,2023
AIG,25,2023
AIZ,24,2023
AJG,21,2023
AKAM,17,2023
ALB,29,2023
ALGN,0,2023
ALK,0,2023
ALL,19,2023
ALLE,24,2023
AMAT,12,2023
AMCR,0,2023
AMD,0,2023
AME,24,2023
AMGN,22,2023
AMP,23,2023
AMT,11,2023
AMZN,30,2023
ANET,16,2023
ANSS,13,2023
AON,0,2023
AOS,25,2023
APA,39,2023
APD,11,2023
APH,21,2023
APTV,12,2023
ARE,14,2023
ATO,35,2023
ATVI,19,2023
AVB,11,2023
AVGO,22,2023
AVY,15,2023
AWK,22,2023
AXON,0,2023
AXP,18,2023
AZO,11,2023
BA,35,2023
BAC,27,2023
BALL,11,2023
BAX,24,2023
BBWI,16,2023
BBY,14,2023
BDX,27,2023
BEN,18,2023
BF.B,0,2023
BG,34,2023
BIIB,21,2023
BIO,17,2023
BK,21,2023
BKNG,22,2023
BKR,0,2023
BLK,21,2023
BMY,23,2023
BR,16,2023
BRK-A,0,2023
BRO,21,2023
BSX,26,2023
BWA,13,2023
BXP,13,2023
C,27,2023
CAG,32,2023
CAH,12,2023
CARR,0,2023
CAT,34,2023
CB,24,2023
CBOE,21,2023
CBRE,7,2023
CCI,13,2023
CCL,24,2023
CDAY,0,2023
CDNS,12,2023
CDW,9,2023
CE,29,2023
CEG,0,2023
CF,30,2023
CFG,23,2023
CHD,20,2023
CHRW,20,2023
CHTR,27,2023
CI,12,2023
CINF,26,2023
CL,22,2023
CLX,21,2023
CMA,26,2023
CMCSA,25,2023
CME,15,2023
CMG,24,2023
CMI,19,2023
CMS,21,2023
CNC,21,2023
CNP,26,2023
COF,23,2023
COO,20,2023
COP,35,2023
COST,24,2023
CPB,24,2023
CPRT,18,2023
CPT,16,2023
CRL,0,2023
CRM,13,2023
CSCO,12,2023
CSGP,27,2023
CSX,20,2023
CTAS,18,2023
CTLT,0,2023
CTRA,46,2023
CTSH,14,2023
CTVA,0,2023
CVS,23,2023
CVX,38,2023
CZR,0,2023
D,25,2023
DAL,26,2023
DD,29,2023
DE,17,2023
DFS,23,2023
DG,17,2023
DGX,21,2023
DHI,22,2023
DHR,12,2023
DIS,15,2023
DLR,13,2023
DLTR,15,2023
DOV,25,2023
DOW,0,2023
DPZ,31,2023
DRI,28,2023
DTE,30,2023
DUK,28,2023
DVA,23,2023
DVN,37,2023
DXC,16,2023
DXCM,24,2023
EA,10,2023
EBAY,17,2023
ECL,24,2023
ED,23,2023
EFX,26,2023
EG,0,2023
EIX,27,2023
EL,26,2023
ELV,11,2023
EMN,25,2023
EMR,29,2023
ENPH,0,2023
EOG,36,2023
EPAM,0,2023
EQIX,12,2023
EQR,11,2023
EQT,37,2023
ES,19,2023
ESS,12,2023
ETN,18,2023
ETR,30,2023
ETSY,0,2023
EVRG,0,2023
EW,19,2023
EXC,24,2023
EXPD,16,2023
EXPE,26,2023
EXR,14,2023
F,30,2023
FANG,0,2023
FAST,26,2023
FCX,32,2023
FDS,20,2023
FDX,20,2023
FE,30,2023
FFIV,19,2023
FI,0,2023
FICO,0,2023
FIS,18,2023
FITB,17,2023
FLT,18,2023
FMC,33,2023
FOX,0,2023
FOXA,0,2023
FRT,12,2023
FSLR,0,2023
