Company Name,ESG Score,Sentiment,Date
A,15,0.9,2023-10-07
AAL,29,0.9,2023-10-07
AAP,12,0.9,2023-10-07
AAPL,17,0.9,2023-10-07
ABBV,28,0.9,2023-10-07
ABC,12,0.9,2023-10-07
ABT,25,0.9,2023-10-07
ACGL,21,0.9,2023-10-07
ACN,10,0.9,2023-10-07
ADBE,12,0.9,2023-10-07
ADI,24,0.9,2023-10-07
ADM,36,0.9,2023-10-07
ADP,14,0.9,2023-10-07
ADSK,16,0.9,2023-10-07
AEE,30,0.9,2023-10-07
AEP,26,0.9,2023-10-07
AES,34,0.9,2023-10-07
AFL,17,0.9,2023-10-07
AIG,25,0.9,2023-10-07
AIZ,24,0.9,2023-10-07
AJG,21,0.9,2023-10-07
AKAM,17,0.9,2023-10-07
ALB,29,0.9,2023-10-07
ALGN,0,0.9,2023-10-07
ALK,0,0.9,2023-10-07
ALL,19,0.9,2023-10-07
ALLE,24,0.9,2023-10-07
AMAT,12,0.9,2023-10-07
AMCR,0,0.9,2023-10-07
AMD,0,0.9,2023-10-07
AME,24,0.9,2023-10-07
AMGN,22,0.9,2023-10-07
AMP,23,0.9,2023-10-07
AMT,11,0.9,2023-10-07
AMZN,30,0.9,2023-10-07
ANET,16,0.9,2023-10-07
ANSS,13,0.9,2023-10-07
AON,0,0.9,2023-10-07
AOS,25,0.9,2023-10-07
APA,39,0.9,2023-10-07
APD,11,0.9,2023-10-07
APH,21,0.9,2023-10-07
APTV,12,0.9,2023-10-07
ARE,14,0.9,2023-10-07
ATO,35,0.9,2023-10-07
ATVI,19,0.9,2023-10-07
AVB,11,0.9,2023-10-07
AVGO,22,0.9,2023-10-07
AVY,15,0.9,2023-10-07
AWK,22,0.9,2023-10-07
AXON,0,0.9,2023-10-07
AXP,18,0.9,2023-10-07
AZO,11,0.9,2023-10-07
BA,35,0.9,2023-10-07
BAC,27,0.9,2023-10-07
BALL,11,0.9,2023-10-07
BAX,24,0.9,2023-10-07
BBWI,16,0.9,2023-10-07
BBY,14,0.9,2023-10-07
BDX,27,0.9,2023-10-07
BEN,18,0.9,2023-10-07
BF.B,0,0.9,2023-10-07
BG,34,0.9,2023-10-07
BIIB,21,0.9,2023-10-07
BIO,17,0.9,2023-10-07
BK,21,0.9,2023-10-07
BKNG,22,0.9,2023-10-07
BKR,0,0.9,2023-10-07
BLK,21,0.9,2023-10-07
BMY,23,0.9,2023-10-07
BR,16,0.9,2023-10-07
BRK-A,0,0.9,2023-10-07
BRO,21,0.9,2023-10-07
BSX,26,0.9,2023-10-07
BWA,13,0.9,2023-10-07
BXP,13,0.9,2023-10-07
C,27,0.9,2023-10-07
CAG,32,0.9,2023-10-07
CAH,12,0.9,2023-10-07
CARR,0,0.9,2023-10-07
CAT,34,0.9,2023-10-07
CB,24,0.9,2023-10-07
CBOE,21,0.9,2023-10-07
CBRE,7,0.9,2023-10-07
CCI,13,0.9,2023-10-07
CCL,24,0.9,2023-10-07
CDAY,0,0.9,2023-10-07
CDNS,12,0.9,2023-10-07
CDW,9,0.9,2023-10-07
CE,29,0.9,2023-10-07
CEG,0,0.9,2023-10-07
CF,30,0.9,2023-10-07
CFG,23,0.9,2023-10-07
CHD,20,0.9,2023-10-07
CHRW,20,0.9,2023-10-07
CHTR,27,0.9,2023-10-07
CI,12,0.9,2023-10-07
CINF,26,0.9,2023-10-07
CL,22,0.9,2023-10-07
CLX,21,0.9,2023-10-07
CMA,26,0.9,2023-10-07
CMCSA,25,0.9,2023-10-07
CME,15,0.9,2023-10-07
CMG,24,0.9,2023-10-07
CMI,19,0.9,2023-10-07
CMS,21,0.9,2023-10-07
CNC,21,0.9,2023-10-07
CNP,26,0.9,2023-10-07
COF,23,0.9,2023-10-07
COO,20,0.9,2023-10-07
COP,35,0.9,2023-10-07
COST,24,0.9,2023-10-07
CPB,24,0.9,2023-10-07
CPRT,18,0.9,2023-10-07
CPT,16,0.9,2023-10-07
CRL,0,0.9,2023-10-07
CRM,13,0.9,2023-10-07
CSCO,12,0.9,2023-10-07
CSGP,27,0.9,2023-10-07
CSX,20,0.9,2023-10-07
CTAS,18,0.9,2023-10-07
CTLT,0,0.9,2023-10-07
CTRA,46,0.9,2023-10-07
CTSH,14,0.9,2023-10-07
CTVA,0,0.9,2023-10-07
CVS,23,0.9,2023-10-07
CVX,38,0.9,2023-10-07
CZR,0,0.9,2023-10-07
D,25,0.9,2023-10-07
DAL,26,0.9,2023-10-07
DD,29,0.9,2023-10-07
DE,17,0.9,2023-10-07
DFS,23,0.9,2023-10-07
DG,17,0.9,2023-10-07
DGX,21,0.9,2023-10-07
DHI,22,0.9,2023-10-07
DHR,12,0.9,2023-10-07
DIS,15,0.9,2023-10-07
DLR,13,0.9,2023-10-07
DLTR,15,0.9,2023-10-07
DOV,25,0.9,2023-10-07
DOW,0,0.9,2023-10-07
DPZ,31,0.9,2023-10-07
DRI,28,0.9,2023-10-07
DTE,30,0.9,2023-10-07
DUK,28,0.9,2023-10-07
DVA,23,0.9,2023-10-07
DVN,37,0.9,2023-10-07
DXC,16,0.9,2023-10-07
DXCM,24,0.9,2023-10-07
EA,10,0.9,2023-10-07
EBAY,17,0.9,2023-10-07
ECL,24,0.9,2023-10-07
ED,23,0.9,2023-10-07
EFX,26,0.9,2023-10-07
EG,0,0.9,2023-10-07
EIX,27,0.9,2023-10-07
EL,26,0.9,2023-10-07
ELV,11,0.9,2023-10-07
EMN,25,0.9,2023-10-07
EMR,29,0.9,2023-10-07
ENPH,0,0.9,2023-10-07
EOG,36,0.9,2023-10-07
EPAM,0,0.9,2023-10-07
EQIX,12,0.9,2023-10-07
EQR,11,0.9,2023-10-07
EQT,37,0.9,2023-10-07
ES,19,0.9,2023-10-07
ESS,12,0.9,2023-10-07
ETN,18,0.9,2023-10-07
ETR,30,0.9,2023-10-07
ETSY,0,0.9,2023-10-07
